trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.5, 'e': 1}",25,0,-219.3747812036603,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
155,False,"{'a': 0.5, 'e': 1}",30,1,-106.57552911103099,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 1}",1
156,False,"{'a': 0.5, 'e': 1}",20,0,-103.71915537060417,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
157,False,"{'a': 0.5, 'e': 1}",20,0,-118.86504063935644,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
158,False,"{'a': 0.5, 'e': 1}",25,3,-39.41754816104056,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 1}",35,0,-68.3205736229062,"{0: 27, 1: 3, 2: 4, 3: 0, 4: 1}",0
160,False,"{'a': 0.5, 'e': 1}",20,0,-119.24890534066128,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
161,False,"{'a': 0.5, 'e': 1}",30,0,-118.35998028471619,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
162,False,"{'a': 0.5, 'e': 1}",20,0,-46.31845373315722,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
163,False,"{'a': 0.5, 'e': 1}",30,0,-157.8818319956069,"{0: 18, 1: 1, 2: 7, 3: 3, 4: 1}",0
164,False,"{'a': 0.5, 'e': 1}",25,0,-108.56131960822255,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
165,False,"{'a': 0.5, 'e': 1}",20,0,-53.08220469605111,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
166,False,"{'a': 0.5, 'e': 1}",35,0,-242.50430768325384,"{0: 21, 1: 3, 2: 5, 3: 2, 4: 4}",0
167,False,"{'a': 0.5, 'e': 1}",25,0,-116.99159445898252,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
168,False,"{'a': 0.5, 'e': 1}",20,0,-185.9815792576496,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
169,False,"{'a': 0.5, 'e': 1}",20,0,-49.46303759919616,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 1}",30,0,-175.8751876790656,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
171,False,"{'a': 0.5, 'e': 1}",20,0,-105.98194653565756,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
172,False,"{'a': 0.5, 'e': 1}",20,0,-59.93942681428478,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
173,False,"{'a': 0.5, 'e': 1}",30,6,-117.80164708201555,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 2}",1
174,False,"{'a': 0.5, 'e': 1}",20,8,10.139754561958682,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 1}",25,0,-169.01079057492552,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
176,False,"{'a': 0.5, 'e': 1}",25,0,-178.78493114010902,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
177,False,"{'a': 0.5, 'e': 1}",20,0,-168.04537204355842,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
